,Word,Count,POS,Definition
11,Aam,3,"""n.""","""A Dutch and German measure of liquids  varying in different cities being at Amsterdam about 41 wine gallons at Antwerp 36 1/2 at Hamburg 38 1/4."""
14,Aaronic,7,"""a.""","""Alt. of Aaronical"""
20,Abaca,5,"""n.""","""The Manila-hemp plant (Musa textilis); also  its fiber. See Manila hemp under Manila."""
24,Abacist,7,"""n.""","""One who uses an abacus in casting accounts; a calculator."""
25,Aback,5,"""adv.""","""Toward the back or rear; backward."""
31,Abactor,7,"""n.""","""One who steals and drives away cattle or beasts by herds or droves."""
32,Abaculi,7,"""pl. ""","""of Abaculus"""
35,Abaci,5,"""pl. ""","""of Abacus"""
36,Abacus,6,"""n.""","""A table or tray strewn with sand  anciently used for drawing calculating etc."""
41,Abada,5,"""n.""","""The rhinoceros."""
42,Abaddon,7,"""n.""","""The destroyer  or angel of the bottomless pit; -- the same as Apollyon and Asmodeus."""
44,Abaft,5,"""prep.""","""Behind; toward the stern from; as  abaft the wheelhouse."""
47,Abaiser,7,"""n.""","""Ivory black or animal charcoal."""
48,Abaist,6,"""p. p.""","""Abashed; confounded; discomfited."""
53,Abalone,7,"""n.""","""A univalve mollusk of the genus Haliotis. The shell is lined with mother-of-pearl  and used for ornamental purposes; the sea-ear. Several large species are found on the coast of California clinging closely to the rocks."""
54,Aband,5,"""v. t.""","""To abandon."""
58,Abandon,7,"""v. t.""","""To cast or drive out; to banish; to expel; to reject."""
74,Abandum,7,"""n.""","""Anything forfeited or confiscated."""
75,Abanet,6,"""n.""","""See Abnet."""
76,Abanga,6,"""n.""","""A West Indian palm; also the fruit of this palm  the seeds of which are used as a remedy for diseases of the chest."""
80,Abased,6,"""imp. & p. p.""","""of Abase"""
81,Abasing,7,"""p. pr. & vb. n.""","""of Abase"""
82,Abase,5,"""a.""","""To lower or depress; to throw or cast down; as  to abase the eye."""
88,Abaser,6,"""n.""","""He who  or that which abases."""
89,Abashed,7,"""imp. & p. p.""","""of Abash"""
91,Abash,5,"""v. t.""","""To destroy the self-possession of; to confuse or confound  as by exciting suddenly a consciousness of guilt mistake or inferiority; to put to shame; to disconcert; to discomfit."""
94,Abassi,6,"""n.""","""Alt. of Abassis"""
95,Abassis,7,"""n.""","""A silver coin of Persia  worth about twenty cents."""
97,Abated,6,"""imp. & p. p.""","""of Abate"""
98,Abating,7,"""p. pr. & vb. n.""","""of Abate"""
99,Abate,5,"""v. t.""","""To beat down; to overthrow."""
113,Abater,6,"""n.""","""One who  or that which abates."""
114,Abatis,6,"""n.""","""Alt. of Abattis"""
115,Abattis,7,"""n.""","""A means of defense formed by felled trees  the ends of whose branches are sharpened and directed outwards or against the enemy."""
117,Abator,6,"""n.""","""One who abates a nuisance."""
121,Abature,7,"""n.""","""Grass and sprigs beaten or trampled down by a stag passing through them."""
123,Abawed,6,"""p. p.""","""Astonished; abashed."""
124,Abaxial,7,"""a.""","""Alt. of Abaxile"""
125,Abaxile,7,"""a.""","""Away from the axis or central line; eccentric."""
126,Abay,4,"""n.""","""Barking; baying of dogs upon their prey. See Bay."""
